CODE,DATE,TIME,HOW OFTEN,peryear,WHERE FROM,zipcode,,,,,,,,,,,,,,,,,
CA2,5/29/2021,10:00 AM,1/week,52,Fairfield,94533,,,,,,,,,,,,,,,,,
CA3,5/29/2021,10:30 AM,2/month,24,Atwater,95301,,,,,,,,,,,,,,,,,
CA4,5/29/2021,10:30 AM,2/month,24,Sacramento,95823,,,,,,,,,,,,,,,,,
CA5,6/2/2021,5:00 PM,1/week,52,Berkeley,94704,,,,,,,,,,,,,,,,,
CA6,6/2/2021,5:00 PM,3/week,156,Richmond,94806,,,,,,,,,,,,,,,,,
CP1,6/6/2021,9:40 AM,Before Closure 1-2x/week - After Closure 2nd time,NA,Richmond,94806,,,,,,,,,,,,,,,,,
CP2,6/6/2021,10:00 AM,1/month,12,Oakland,94601,,,,,,,,,,,,,,,,,
HS1,6/6/2021,5:00 PM,1/month,12,Sacramento,95823,,,,,,,,,,,,,,,,,
HS2,6/6/2021,5:20 PM,1//month,12,Pinole,94564,,,,,,,,,,,,,,,,,
HS3,6/6/2021,5:35 PM,2-3/month,24,San Ramon,94582,,,,,,,,,,,,,,,,,
HS4,6/6/2021,6:00 PM,every few months,4,Berkeley,94704,,,,,,,,,,,,,,,,,
PL1,6/9/2021,1:50 PM,1/week on weekend,52,Oakland,94601,,,,,,,,,,,,,,,,,
PL2,6/9/2021,2:54 PM,3/week,156,Oakland,94601,,,,,,,,,,,,,,,,,
CA7,8/4/2021,5:00 PM,"1/wk precovid, 1/mth now",12,Oakland,94601,,,,,,,,,,,,,,,,,
CA8,8/4/2021,5:00 PM,1/month,12,Oakland,94601,,,,,,,,,,,,,,,,,
CA9,8/4/2021,5:00 PM,1/month  (just started 3 mths ago),12,Oakland,94601,,,,,,,,,,,,,,,,,
CA10,10/18/2021,1:00 PM,this was first time,NA,Alameda,94501,,,,,,,,,,,,,,,,,
CA11,10/18/2021,1:30 PM,every day,365,Oakland,94601,,,,,,,,,,,,,,,,,
CA12,11/5/2021,2:00 PM,first time in many years,NA,concord,94521,,,,,,,,,,,,,,,,,
BS1,11/7/2021,2:00 PM,every sunday,52,Richmond,94806,,,,,,,,,,,,,,,,,
BS2,11/7/2021,2:00 PM,1/week,52,Oakland,94601,,,,,,,,,,,,,,,,,
BS3,11/7/2021,2:00 PM,2x/month,24,Hercules,94547,,,,,,,,,,,,,,,,,
SL1,11-14-21,10:00 AM,1/week,52,Emeryville,94608,,,,,,,,,,,,,,,,,
REB1,11/14/2021,10:00 AM,2x/month,24,Clearlake,95422,,,,,,,,,,,,,,,,,
CA13,11/28/2021,9:00 AM,1x/year,1,stockton,95209,,,,,,,,,,,,,,,,,
CA14,11/28/2021,9:00 AM,1x/year,1,oakland,94606,,,,,,,,,,,,,,,,,
BAR1,11/14/2021,10:00 AM,5x/year,5,Lake County,95422,,,,,,,,,,,,,,,,,
CA15,1/16/2022,2:00 PM,in season (april-sept): 1x/week; not season:2-3x/month,52,Brentwood/Oakley,94561,,,,,,,,,,,,,,,,,
CA16,1/16/2022,2:15 PM,3-4x/month,36,San Leandro,94578,,,,,,,,,,,,,,,,,
CA17,1/16/2022,2:30 PM,1-2x/month,12,San Jose,95132,,,,,,,,,,,,,,,,,
CA18,1/23/2022,4:00 PM,60x/year,60,San Pablo,94806,,,,,,,,,,,,,,,,,
CA19,1/23/2022,4:00 PM,60x/year,60,Richmond,94805,,,,,,,,,,,,,,,,,
CA20,1/23/2022,4:00 PM,60x/year,60,Richmond,94805,,,,,,,,,,,,,,,,,
CA21,1/23/2022,4:00 PM,60x/year,60,Richmond,94801,,,,,,,,,,,,,,,,,
AU1,1/23/2022,4:00 PM,1x/month,12,SF-Bayview,94124,,,,,,,,,,,,,,,,,
AU2,1/23/2022,4:30 PM,this was their first time,NA,San Jose,95127,,,,,,,,,,,,,,,,,
AU3,1/24/2022,5:00 PM,1x/month,12,Orange County,90706,,,,,,,,,,,,,,,,,
AU4,1/24/2022,5:00 PM,1x/month,12,Orange County,90706,,,,,,,,,,,,,,,,,
AU5,1/28/2022,7:00 PM,2x/week,104,San Francisco,94124,,,,,,,,,,,,,,,,,
AU6,1/30/2022,5:00 PM,1x/every 2 weeks,24,Oakland,94602,,,,,,,,,,,,,,,,,
CA22,2/5/2022,1:15 PM,2x/year (this was second time),2,Oakland,94603,,,,,,,,,,,,,,,,,
CA23,2/5/2022,1:00 PM,1x/week,52,Oakland,94621,,,,,,,,,,,,,,,,,
AU7,2/16/2022,5:50 PM,1x/week,52,Berkeley,94702,,,,,,,,,,,,,,,,,
AU8,2/16/2022,5:50 PM,1x/week,52,Berkeley,94702,,,,,,,,,,,,,,,,,
AU9,2/16/2022,5:50 PM,1x/week,52,Berkeley,94702,,,,,,,,,,,,,,,,,
AU10,2/16/2022,5:50 PM,1x/week,52,Berkeley,94702,,,,,,,,,,,,,,,,,
CA24 ,2/12/2022,3:00 PM,1x/week,52,Albany,94706,,,,,,,,,,,,,,,,,
CA25,2/12/2022,3:00 PM,3x/week,156,Emeryville,94608,,,,,,,,,,,,,,,,,
CA26,2/15/2022,10:00 AM,1x/month,12,Castro valley,94546,,,,,,,,,,,,,,,,,
CA27,2/21/2022,3:00 PM,1x/year,1,Berkeley,94702,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
